,country,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,rate_fully,rate,rollout_score
0,Afghanistan,0.0008182349503214495,0.0,0.0,0.001960426784330941,0.05804462502621483
1,Albania,0.013033313851548801,0.0,0.0007848859853177769,0.0007690432388161682,0.4794749231662172
2,Algeria,0.0009935710111046172,0.0,0.0,0.0,0.0347749853886616
3,Andorra,0.07025131502045587,0.0,0.012048103970912388,0.03674064074891968,3.1906271965134363
4,Angola,0.0015195791934541204,0.0,0.0,0.004069142430050503,0.11422240822165172
5,Anguilla,0.20835768556399764,0.0,0.0,0.23395651040795173,10.801866650859193
6,Antigua and Barbuda,0.1532437171244886,0.0,0.0,0.0,5.3635300993571
7,Argentina,0.046171829339567504,0.018420388594499116,0.017512368524764,0.026365332945837264,2.9188931497513506
8,Australia,0.01163062536528346,0.0,0.0,0.006677198816514547,0.5072298700326393
9,Austria,0.09666861484511981,0.05513499873832955,0.055088494173729755,0.03671167358835544,6.6901289918520055
10,Azerbaijan,0.02939801285797779,0.0,0.0,0.025104464404975588,1.4054974161038565
11,Bahamas,0.00017533606078316773,0.0,0.0,0.0,0.0061367621274108705
12,Bahrain,0.24868497954412622,0.18231138026747412,0.12611391948773235,0.07415331315025125,18.088881082975767
13,Bangladesh,0.018234950321449443,0.0,0.0,0.01867445790476805,0.9183401298222513
14,Barbados,0.12764465225014612,0.0,0.0,0.16389684835490348,6.926015554078665
15,Belarus,0.0018702513150204558,0.0013878374968458239,0.0,0.0009177196972788821,0.127798903874503
16,Belgium,0.08568088836937464,0.054125662376987134,0.061198831950597145,0.031318980200302965,6.280996458386164
17,Belize,0.026709526592635886,0.0,0.0,0.06308156592902482,1.8810569196776281
18,Bermuda,0.32104032729398013,0.2664647993943982,0.39302129376402256,0.14381787469444085,28.61526696097019
19,Bolivia,0.01315020455873758,0.009588695432752965,0.018149501809021366,0.015132662111107198,1.2950939585040975
20,Brazil,0.048158971361776735,0.02397173858188241,0.036167989146447185,0.02446593704520642,3.4340837409028735
21,Bulgaria,0.03652834599649328,0.015897047691143074,0.014813694808127801,0.018458466979585055,2.3339712058829654
22,Cambodia,0.010344827586206896,0.0,0.0,0.01039054910940199,0.5179272021582711
23,Canada,0.07691408533021625,0.022205399949533182,0.023180401101398948,0.03094047500059635,4.28099512632116
24,Cayman Islands,0.3918176504967855,0.2967448902346707,0.28260003289811797,0.16996534419313378,30.888169581969738
25,Chile,0.29485680888369376,0.2149886449659349,0.18754192931828384,0.1167478319954687,22.408937304443285
26,China,0.04161309175920514,0.0,0.0,0.0,1.4564582115721798
27,Colombia,0.018351841028638224,0.0036588443098662625,0.010250450362554038,0.029281720775795807,1.3633565539229047
28,Costa Rica,0.03991817650496785,0.033308099924299776,0.026121390535668657,0.01699402836405047,3.2096509585201534
29,Cote d'Ivoire,0.0007013442431326709,0.0,0.0,0.001563766814016688,0.048003550719893796
30,Croatia,0.059322033898305086,0.024854907898057027,0.021576636776951656,0.02370539613912032,3.625423456613753
31,Cyprus,0.0863822326125073,0.0518546555639667,0.06141347745801808,0.03883559351759279,6.342027150810753
32,Czechia,0.08521332554061951,0.0518546555639667,0.05062193357481453,0.03147324078990178,6.028806954131262
33,Denmark,0.10414962010520164,0.07872823618470856,0.06970260007818926,0.03809538108007017,8.017694687520748
34,Dominica,0.11011104617182933,0.0,0.0,0.19576942772132952,6.79042803183397
35,Dominican Republic,0.043074225599064875,0.0,0.0,0.06762915459294715,2.5220352148614773
36,Ecuador,0.006312098188194039,0.0027756749936916477,0.005818902941866354,0.00411535274988335,0.4670858967422446
37,Egypt,0.0,0.0,0.0,0.0,0.0
38,El Salvador,0.004441846873173582,0.0,0.0,0.006161019560959164,0.24787993397546285
39,England,0.2882524839275278,0.05551349987383296,0.026170495341211304,0.1547369529959087,14.745421158104424
40,Equatorial Guinea,0.0027469316189362943,0.000757002271006813,0.0,0.0,0.12263768614800875
41,Estonia,0.11116306253652834,0.057532172596517786,0.06298607240581301,0.0637015692776873,7.804647854909118
42,Faeroe Islands,0.11911163062536527,0.10598031794095383,0.14164249155500397,0.018708476023623872,10.283482713500588
43,Falkland Islands,0.2906487434248977,0.0,0.0,1.0,25.172706019871416
44,Finland,0.09713617767387493,0.020186727226848347,0.01996447025313285,0.06447150729875972,5.372841334803703
45,France,0.08737580362361191,0.048826646479939444,0.06470306018308673,0.03235086178697581,6.222894583175235
46,Germany,0.08626534190531852,0.05677517032551098,0.05626983530061089,0.031742751247537955,6.326606726301264
47,Ghana,0.007890122735242549,0.0,0.0,0.02374486580051521,0.6323272827412173
